Movie Name,Intro,Rating
阿甘正传,讲述一名智力障碍的男子如何凭借坚韧与善良，创造属于自己的一段传奇人生，感人至深。,8.8
生死时速,讲述一位警察如何阻止炸弹在地铁上爆炸的紧张故事，充满了速度与紧迫感。,7.5
星际迷航：超越星辰,讲述了星际舰队成员在宇宙中的冒险经历，继承了系列的宏大背景和人物之间的情感冲突。,7
玩具总动员3,讲述了一群玩具如何面对被遗弃的命运并克服困难，为了友情与家庭重新团聚。,8.2
人类之子,讲述了一个未来世界中，男女失去生育能力后，少数几名幸存者如何保护一个即将诞生的婴儿，带有强烈的社会讽刺意味。,7.6
神偷奶爸,讲述了一位超级坏蛋如何通过与三名孤儿建立家庭，逐渐改变人生的幽默故事。,7.7
永远的终结,讲述了一位天才少年在发现时间旅行的秘密后，如何重新审视生命与宇宙的意义，情节悬疑且发人深省。,7.3
全金属外壳,描述了越南战争时期，美军士兵的训练与生死历程，影片极具纪实感，探讨战争带来的心理创伤。,8.3
梦工厂,讲述了梦工厂电影公司创始人的传奇一生，以及如何从一个小型工作室变成全球电影产业的巨头。,7.5
钢铁巨人,讲述了一位小男孩与一个巨大的机器人的友情故事，充满了温情与科幻元素，适合全家人观看。,7.9
鬼吹灯之精绝古城,讲述了一群考古学家探索古老文明的故事，充满了悬疑与探险的元素。,7.2
哈利·波特与魔法石,一名年轻男孩发现自己是魔法世界的一部分，进入霍格沃茨学校展开冒险，发现自己的命运与一个黑暗魔法相关。,8
霸王别姬,讲述了两位京剧演员从少年时代到年老的动人故事，充满爱情与悲剧色彩。,8.7
指环王：护戒使者,一群勇士为了摧毁邪恶的魔戒，踏上了漫长的冒险旅程，充满奇幻与英雄主义的史诗电影。,8.8
泰坦尼克号,讲述了一对来自不同阶层的年轻人，在泰坦尼克号沉没事件中发生的爱情故事。,7.8
心灵奇旅,讲述了一位刚刚逝世的音乐家灵魂进入“心灵世界”，寻找人生意义的感人故事。,8.1
黑社会的超能力女,讲述了一位拥有超能力的女孩如何从一个默默无闻的中学生，变成黑社会头目，充满幽默和荒诞的情节。,7.2
欢乐好声音,讲述了一个小动物们在一个破旧的剧院举办歌唱比赛的故事，充满温情与音乐。,7.1
冰雪奇缘,讲述了一位女王为了解除自己的魔法诅咒，与妹妹一起寻找自由与解放的故事。,7.5
复仇者联盟：终局之战,超级英雄们联合起来对抗强大的反派，拯救世界的最终决战。,8.4
楚门的世界,讲述了一名男子发现自己的整个生活都是一场电视节目后，如何勇敢地追求自由的故事。,8.1
蜘蛛侠：平行宇宙,讲述了一名普通少年被赋予蜘蛛侠能力后，如何与其他宇宙的蜘蛛侠联手对抗强大敌人。,8.4
速度与激情8,讲述了超级车手多米尼克如何被迫背离团队，在一次全球范围的犯罪行动中展开冒险。,6.6
生化危机,讲述了一个生化危机后的末日世界中，人类如何与丧尸和病毒抗争的惊悚片。,6.7
战狼2,讲述了中国特种兵冷锋如何在非洲展开救援行动的硬核动作片，充满爱国情怀和高强度打斗场面。,7.1
指环王：双塔奇兵,继续讲述了魔戒团队的冒险，他们面临新的威胁和内部分裂，展开更加艰难的旅程。,8.7
蜘蛛侠：英雄归来,讲述了彼得·帕克如何在成为超级英雄后，处理好学业、友情和责任之间的冲突，并面对新的挑战。,7.4
战马,讲述了一匹马在第一次世界大战中与它的年轻主人分别后的种种遭遇，充满情感与战争的冲突。,7.2
绿皮书,一名白人司机与黑人钢琴家的友情在美国南方的种族歧视环境中不断发展，故事感人且具有启发性。,8.2
海上钢琴师,讲述了一名出生在船上的钢琴天才，如何一生都在海上度过，最终成为世界级音乐家的传奇故事。,8.1
国王的演讲,讲述了英国国王乔治六世如何克服语言障碍，勇敢地领导国家度过二战的伟大历史故事。,8
无间道,讲述了警察与黑帮之间的间谍斗争，揭示了忠诚与背叛的复杂情感。,8.5
达芬奇密码,讲述了一名教授与助手联手解开隐藏在历史谜题中的真相，掀起一连串惊心动魄的冒险。,6.9
宠物的秘密生活,讲述了一群宠物在主人不在时的冒险故事，充满幽默和感人的情节。,6.5
火星救援,讲述了一位宇航员在火星上被误认为死亡，如何靠自己的智慧生存并等待地球的拯救。,8
超级战舰,讲述了一艘现代化的战舰如何与外星入侵者展开激烈的海上战斗，充满动作和特效。,6.2
雪暴,讲述了一名警察在极寒天气下面对家庭危机和道德选择的心理惊悚片。,7.5
海王,讲述了亚特兰蒂斯王国的王子如何在地球与海底世界之间找到自己的位置，成为海洋的英雄。,6.9
极地特快,讲述了一群孩子如何搭乘神秘的极地列车，前往圣诞老人家中，充满节日气氛的动画电影。,6.6
模仿游戏,讲述了二战期间，阿兰·图灵如何破解德国的恩尼格玛密码机，拯救了无数生命的真实故事。,8
超感应,讲述了一名超能力者如何用自己的能力帮助警方破案的悬疑剧情片。,7.3
月球,讲述了一个人在月球上的孤独任务过程中，发现自己被卷入一场身份危机的科幻电影。,8
爱乐之城,讲述了一对追梦的情侣，在洛杉矶相遇、相爱，探索梦想与现实之间的抉择与冲突。,8
变形金刚,一群巨型机器人在人类世界的斗争中展开冒险，充满了惊险的打斗场面和华丽的视觉特效。,7.1
黑豹,讲述了瓦坎达国王如何面对国家的危机与继承权的挑战，深刻探讨了家族、责任与文化的主题。,7.3
博物馆奇妙夜,一群人来到纽约自然历史博物馆，发现展品在夜间复活的奇幻冒险故事。,7
盗梦空间,讲述了一个梦境盗贼在潜入他人梦境中植入想法，最终挑战梦境与现实界限的悬疑科幻故事。,8.8
复仇者联盟,集结了多个超级英雄，他们共同努力保护地球免受外星威胁的壮观故事。,8
侏罗纪公园,科学家们通过基因技术复生恐龙，带来一场人类与恐龙的生死搏斗，充满了惊悚与冒险。,8.1
死侍,一名变异能力的男子死而复生后，追求个人复仇的黑暗幽默故事。,8
千与千寻,讲述了一个少女在神秘的异世界中努力寻找回家之路的冒险，充满了幻想和深刻的象征意义。,8.6
前目的地,讲述了一名时间旅行者如何完成使命，解开自我身份和命运的悬疑故事。,8
我不是药神,讲述了一个小人物如何在面对绝望时走上买卖假药的道路，并为患者争取生命的故事，触动社会道德与法律的底线。,8.9
三傻大闹宝莱坞,讲述了三位印度大学生如何打破传统教育方式，追求自己梦想的幽默与感人的故事。,8.4
灵魂歌手,讲述了一位来自底层的黑人歌手在追求音乐梦想的过程中，如何克服种种困难，获得成功的故事。,7.8
鸟人,讲述了一名曾经的超级英雄演员努力重回舞台，重新定义自我，且影片充满了幽默与沉重的情感。,7.7
星际穿越,讲述了一组宇航员穿越虫洞寻找人类新家园的科幻冒险，充满哲学与物理学的深刻思考。,8.6
美丽心灵,讲述了数学天才约翰·纳什的传奇一生，他如何面对精神分裂症的挑战并最终获得诺贝尔奖。,8.2
大话西游之大圣娶亲,讲述了至尊宝与紫霞仙子之间悲欢离合的爱情故事，包含奇幻与悲剧色彩。,8.2
绝地战警,讲述了两位老警察如何联手处理全球犯罪集团的刺激动作片，融合幽默与冒险元素。,7
贫民窟的百万富翁,讲述了一名印度贫民如何通过参加电视节目成为百万富翁的故事，充满励志与感人的情节。,8
沉默的羔羊,讲述了一名年轻警官如何通过与一名危险的连环杀手心理对决，揭开一系列令人毛骨悚然的犯罪案件。,8.6
大白鲨,讲述了一只巨型鲨鱼如何威胁到海滨城市的故事，成为经典的恐怖与冒险片。,8
真爱至上,讲述了多个在伦敦发生的感人爱情故事，充满温情和幽默的圣诞题材影片。,7.6
王牌特工：特工学院,讲述了一个普通少年如何加入神秘特工组织并接受训练，成为拯救世界的英雄的动作喜剧片。,7.7
蝙蝠侠：黑暗骑士,讲述了蝙蝠侠如何与邪恶的“小丑”展开一场关于道德与责任的较量，成为超级英雄电影的经典。,9
当幸福来敲门,讲述了一位父亲如何与儿子共同经历生活的困境，并最终通过坚持与努力实现梦想的励志故事。,8
马戏之王,讲述了一名穷困潦倒的男子如何创建起世界知名的马戏团，并最终走向成功的传记电影。,7.6
爱,讲述了法国一位著名钢琴家在晚年因患病而面临生活困境，她与丈夫间的深厚爱情。,7.9
地心引力,讲述了两个宇航员如何在太空事故后生死相依的求生故事，充满紧张与悬疑。,8.1
天堂的嫁衣,讲述了两位恋人如何面对命运的安排与重重障碍，最终找到了属于他们的幸福故事。,7.3
悬崖上的金鱼姬,讲述了一只金鱼与一个小男孩之间的奇妙友情，满载童真与幻想的动画影片。,7.7
疯狂的石头,讲述了几个小人物如何在一个复杂的盗窃案中误打误撞，最终惹祸的喜剧片。,7.9
教父,讲述了美国黑帮家族如何在暴力与背叛中不断传承，充满了家族与权力的复杂情感。,9.2
英雄,讲述了古代中国战争中的英雄人物，他们在面对帝国暴政时的反抗与牺牲，影片有着强烈的视觉冲击。,7.9
战地之王,讲述了一个孤独的士兵在二战后期，面对战场与人性的残酷，如何在极限条件下生存的战争片。,7.8
偷天陷阱,三个高手合力实施了一场完美的盗窃计划，但事与愿违，他们面对的敌人竟然是更强的对手。,6.9
生命之树,讲述了一家人在家庭失落的痛苦中重新找到生活的意义，电影结合了自然与人生哲学。,8
银翼杀手2049,续集《银翼杀手》的故事发生在30年后，一名新的银翼杀手揭开了一个改变世界的秘密。,8
公民凯恩,讲述了美国报业大亨凯恩一生的故事，从年轻的理想主义者到独裁般的富翁，电影探讨了权力与人生的虚无。,8.3
红色警戒,描述了一群国际特种兵在极限环境下执行任务，他们必须克服恶劣的条件，击败敌人并拯救人质。,6.4
光辉岁月,讲述了摇滚乐队成员在面临职业生涯低谷时如何重拾信念和友谊，迎接光辉时刻的感人故事。,7.2
